epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.3489,1.21413,3.9269,0.99921,0.00333,1,0.00552,0.00385,0.83145,3.62486,0.82246,2e-05,2e-05,2e-05
2,29.9489,0.97349,4.13452,0.89506,0.0031,0.92857,0.01407,0.0091,0.90259,3.61814,0.80315,5.9505e-05,5.9505e-05,5.9505e-05
3,44.6065,1.1452,3.67545,1.10615,0.00333,1,0.07801,0.0426,0.94477,3.53336,0.80845,9.835e-05,9.835e-05,9.835e-05
4,56.1302,0.93784,2.86869,0.93563,0.00333,1,0.52758,0.32247,0.95075,3.45317,0.81801,0.000136535,0.000136535,0.000136535
5,66.7975,1.16967,2.78053,0.95786,0.00333,1,0.66654,0.36222,0.96673,3.50476,0.84227,0.00017406,0.00017406,0.00017406
6,77.5574,0.92121,2.30444,1.00641,0.00333,1,0.97167,0.46836,0.92434,3.51512,0.83551,0.000210925,0.000210925,0.000210925
7,88.6461,0.89977,1.65774,0.88602,0.00333,1,0.97331,0.3258,0.85178,3.58259,0.84416,0.00024713,0.00024713,0.00024713
8,100.548,0.99631,1.43774,0.94798,0.00334,1,0.48838,0.19925,0.80236,3.60311,0.84737,0.000282675,0.000282675,0.000282675
9,111.548,1.04764,1.41387,0.97944,0.00334,1,0.43377,0.16484,0.87178,3.65392,0.86656,0.00031756,0.00031756,0.00031756
10,121.781,1.12145,1.63095,0.97807,0.00336,1,0.43421,0.16106,1.03336,3.65347,0.88986,0.000351785,0.000351785,0.000351785
11,131.158,1.00701,1.6428,0.95085,0.00337,1,0.21159,0.06778,1.07911,3.67509,0.89773,0.00038535,0.00038535,0.00038535
12,140.089,0.91797,1.52171,0.90883,0.00336,1,0.0216,0.01209,1.02848,3.67807,0.89375,0.000418255,0.000418255,0.000418255
13,149.282,0.92892,1.44537,0.9642,0.00335,1,0.02479,0.01334,0.92777,3.59813,0.87244,0.0004505,0.0004505,0.0004505
14,159.63,0.99992,1.50102,0.9958,0.00336,1,0.01753,0.01181,0.93515,3.60782,0.87377,0.000482085,0.000482085,0.000482085
15,169.433,0.9013,1.35366,0.94465,0.00336,1,0.01691,0.01176,0.90216,3.61168,0.86962,0.00051301,0.00051301,0.00051301
16,178.29,0.94732,1.45515,0.97248,0.00335,1,0.01601,0.01221,0.77208,3.56926,0.83593,0.000543275,0.000543275,0.000543275
17,187.466,0.81461,1.30503,0.88651,0.00333,1,0.01509,0.01134,0.78985,3.58966,0.85871,0.00057288,0.00057288,0.00057288
18,196.592,0.81251,1.37227,0.92696,0.00333,1,0.01399,0.01058,0.79519,3.55517,0.84067,0.000601825,0.000601825,0.000601825
19,206.507,0.98648,1.29654,0.94954,0.00333,1,0.01328,0.01032,0.75635,3.53544,0.84425,0.00063011,0.00063011,0.00063011
20,215.389,0.87765,1.34549,0.94161,0.00333,1,0.01296,0.00968,0.85636,3.57638,0.88102,0.000657735,0.000657735,0.000657735
21,224.62,1.02474,1.63558,0.99756,0.00333,1,0.01209,0.00889,0.90786,3.62879,0.88478,0.0006847,0.0006847,0.0006847
22,233.595,0.89039,1.24412,0.94827,0.00333,1,0.01157,0.00865,0.84697,3.63241,0.86503,0.000711005,0.000711005,0.000711005
23,242.524,0.96289,1.30169,0.91428,0.00333,1,0.01131,0.00849,0.75793,3.53425,0.84968,0.00073665,0.00073665,0.00073665
24,251.689,0.99015,1.28076,1.00211,0.00333,1,0.01144,0.00851,0.7592,3.52386,0.84634,0.000761635,0.000761635,0.000761635
25,260.386,1.03178,1.39268,1.00042,0.00333,1,0.01114,0.00833,0.7561,3.53604,0.84229,0.00078596,0.00078596,0.00078596
